timestamp_min,pot_w
0,251043.0
1,251043.0
2,251043.0
3,251043.0
4,251043.0
5,251043.0
6,251043.0
7,251043.0
8,251043.0
9,251043.0
10,251043.0
11,251043.0
12,251043.0
13,251043.0
14,251043.0
15,251043.0
16,251043.0
17,251043.0
18,251043.0
19,251043.0
20,251043.0
21,251043.0
22,251043.0
23,251043.0
24,251043.0
25,251043.0
26,251043.0
27,251043.0
28,251043.0
29,251043.0
30,251043.0
31,251043.0
32,251043.0
33,251043.0
34,251043.0
35,251043.0
36,251043.0
37,251043.0
38,251043.0
39,251043.0
40,251043.0
41,251043.0
42,251043.0
43,251043.0
44,251043.0
45,251043.0
46,251043.0
47,251043.0
48,251043.0
49,251043.0
50,251043.0
51,251043.0
52,251043.0
53,251043.0
54,251043.0
55,251043.0
56,251043.0
57,251043.0
58,251043.0
59,251043.0
60,-251043.0
61,-251043.0
62,-251043.0
63,-251043.0
64,-251043.0
65,-251043.0
66,-251043.0
67,-251043.0
68,-251043.0
69,-251043.0
70,-251043.0
71,-251043.0
72,-251043.0
73,-251043.0
74,-251043.0
75,-251043.0
76,-251043.0
77,-251043.0
78,-251043.0
79,-251043.0
80,-251043.0
81,-251043.0
82,-251043.0
83,-251043.0
84,-251043.0
85,-251043.0
86,-251043.0
87,-251043.0
88,-251043.0
89,-251043.0
90,-251043.0
91,-251043.0
92,-251043.0
93,-251043.0
94,-251043.0
95,-251043.0
96,-251043.0
97,-251043.0
98,-251043.0
99,-251043.0
100,-251043.0
101,-251043.0
102,-251043.0
103,-251043.0
104,-251043.0
105,-251043.0
106,-251043.0
107,-251043.0
108,-251043.0
109,-251043.0
110,-251043.0
111,-251043.0
112,-251043.0
113,-251043.0
114,-251043.0
115,-251043.0
116,-251043.0
117,-251043.0
118,-251043.0
119,-251043.0
120,-251043.0
