timestamp_min,pot_w
0,14135.94
1,14135.94
2,14135.94
3,14135.94
4,14135.94
5,14135.94
6,14135.94
7,14135.94
8,14135.94
9,14135.94
10,14135.94
11,14135.94
12,14135.94
13,14135.94
14,14135.94
15,14135.94
16,14135.94
17,14135.94
18,14135.94
19,14135.94
20,14135.94
21,14135.94
22,14135.94
23,14135.94
24,14135.94
25,14135.94
26,14135.94
27,14135.94
28,14135.94
29,14135.94
30,14135.94
31,14135.94
32,14135.94
33,14135.94
34,14135.94
35,14135.94
36,14135.94
37,14135.94
38,14135.94
39,14135.94
40,14135.94
41,14135.94
42,14135.94
43,14135.94
44,14135.94
45,14135.94
46,14135.94
47,14135.94
48,14135.94
49,14135.94
50,14135.94
51,14135.94
52,14135.94
53,14135.94
54,14135.94
55,14135.94
56,14135.94
57,14135.94
58,14135.94
59,14135.94
60,-14135.94
61,-14135.94
62,-14135.94
63,-14135.94
64,-14135.94
65,-14135.94
66,-14135.94
67,-14135.94
68,-14135.94
69,-14135.94
70,-14135.94
71,-14135.94
72,-14135.94
73,-14135.94
74,-14135.94
75,-14135.94
76,-14135.94
77,-14135.94
78,-14135.94
79,-14135.94
80,-14135.94
81,-14135.94
82,-14135.94
83,-14135.94
84,-14135.94
85,-14135.94
86,-14135.94
87,-14135.94
88,-14135.94
89,-14135.94
90,-14135.94
91,-14135.94
92,-14135.94
93,-14135.94
94,-14135.94
95,-14135.94
96,-14135.94
97,-14135.94
98,-14135.94
99,-14135.94
100,-14135.94
101,-14135.94
102,-14135.94
103,-14135.94
104,-14135.94
105,-14135.94
106,-14135.94
107,-14135.94
108,-14135.94
109,-14135.94
110,-14135.94
111,-14135.94
112,-14135.94
113,-14135.94
114,-14135.94
115,-14135.94
116,-14135.94
117,-14135.94
118,-14135.94
119,-14135.94
120,-14135.94
