timestamp_min,pot_w
0,1413.594
1,1413.594
2,1413.594
3,1413.594
4,1413.594
5,1413.594
6,1413.594
7,1413.594
8,1413.594
9,1413.594
10,1413.594
11,1413.594
12,1413.594
13,1413.594
14,1413.594
15,1413.594
16,1413.594
17,1413.594
18,1413.594
19,1413.594
20,1413.594
21,1413.594
22,1413.594
23,1413.594
24,1413.594
25,1413.594
26,1413.594
27,1413.594
28,1413.594
29,1413.594
30,1413.594
31,1413.594
32,1413.594
33,1413.594
34,1413.594
35,1413.594
36,1413.594
37,1413.594
38,1413.594
39,1413.594
40,1413.594
41,1413.594
42,1413.594
43,1413.594
44,1413.594
45,1413.594
46,1413.594
47,1413.594
48,1413.594
49,1413.594
50,1413.594
51,1413.594
52,1413.594
53,1413.594
54,1413.594
55,1413.594
56,1413.594
57,1413.594
58,1413.594
59,1413.594
60,-1413.594
61,-1413.594
62,-1413.594
63,-1413.594
64,-1413.594
65,-1413.594
66,-1413.594
67,-1413.594
68,-1413.594
69,-1413.594
70,-1413.594
71,-1413.594
72,-1413.594
73,-1413.594
74,-1413.594
75,-1413.594
76,-1413.594
77,-1413.594
78,-1413.594
79,-1413.594
80,-1413.594
81,-1413.594
82,-1413.594
83,-1413.594
84,-1413.594
85,-1413.594
86,-1413.594
87,-1413.594
88,-1413.594
89,-1413.594
90,-1413.594
91,-1413.594
92,-1413.594
93,-1413.594
94,-1413.594
95,-1413.594
96,-1413.594
97,-1413.594
98,-1413.594
99,-1413.594
100,-1413.594
101,-1413.594
102,-1413.594
103,-1413.594
104,-1413.594
105,-1413.594
106,-1413.594
107,-1413.594
108,-1413.594
109,-1413.594
110,-1413.594
111,-1413.594
112,-1413.594
113,-1413.594
114,-1413.594
115,-1413.594
116,-1413.594
117,-1413.594
118,-1413.594
119,-1413.594
120,-1413.594
121,-1413.594
122,-1413.594
123,-1413.594
124,-1413.594
125,-1413.594
126,-1413.594
127,-1413.594
128,-1413.594
129,-1413.594
130,-1413.594
131,-1413.594
132,-1413.594
133,-1413.594
134,-1413.594
135,-1413.594
136,-1413.594
137,-1413.594
138,-1413.594
139,-1413.594
140,-1413.594
141,-1413.594
142,-1413.594
143,-1413.594
144,-1413.594
145,-1413.594
146,-1413.594
147,-1413.594
148,-1413.594
149,-1413.594
150,-1413.594
151,-1413.594
152,-1413.594
153,-1413.594
154,-1413.594
155,-1413.594
156,-1413.594
157,-1413.594
158,-1413.594
159,-1413.594
160,-1413.594
161,-1413.594
162,-1413.594
163,-1413.594
164,-1413.594
165,-1413.594
166,-1413.594
167,-1413.594
168,-1413.594
169,-1413.594
170,-1413.594
171,-1413.594
172,-1413.594
